,level,genre,ID,name,episode_total,main_score,concern_count,comments_count
379,best,101.0,391767,blueRose 놀마,4.0,9.95,1615,0
380,best,101.0,352187,리브☆,5.0,9.98,533,0
381,best,101.0,239904,윤연주 영어샘,18.0,9.98,3186,0
382,best,101.0,275467,까만토깽이(혜란),138.0,9.99,3346,0
383,best,101.0,219899,홍리우.,99.0,9.97,13274,0
384,best,101.0,301661,난다긴다하다,55.0,9.96,2320,0
385,best,101.0,204423,럼,5.0,9.86,2885,0
386,best,101.0,196768,에레티,8.0,9.91,4622,0
387,best,101.0,206590,쿠키아저씨,10.0,9.99,525,0
388,best,101.0,201838,박 잎새,81.0,9.95,2954,0
389,best,101.0,241795,이이담(유주),20.0,9.92,1508,0
390,best,101.0,221470,송주희,97.0,9.93,8333,0
391,best,101.0,195683,청월호 (靑月虎),249.0,9.94,4154,0
392,best,101.0,102061,완두콩알,81.0,9.95,2211,0
393,best,101.0,166674,신이봄,10.0,9.88,2005,0
394,best,101.0,14920,아모르파티(Amor Fati),18.0,9.83,6596,0
395,best,101.0,335327,미리내27,89.0,9.99,5151,0
396,best,101.0,254855,디라이터,9.0,9.98,7346,0
397,best,101.0,403312,옥강냉Q,25.0,9.99,1919,0
398,best,101.0,266842,설래인,116.0,9.99,12374,0
399,best,101.0,192864,빅노아,19.0,9.91,2867,0
400,best,101.0,224260,작가이미르,163.0,9.99,8595,0
401,best,101.0,196739,지오한수옥,155.0,9.9,2481,0
402,best,101.0,313546,매혹화,16.0,9.96,4942,0
403,best,101.0,311677,김나림,10.0,9.97,6704,0
404,best,101.0,216936,불탄닷♡,209.0,9.95,7157,0
405,best,101.0,385969,하수영,109.0,9.99,3569,0
406,best,101.0,211863,김정화(카밀),14.0,9.98,9080,0
407,best,101.0,153099,RANEY,8.0,9.58,1311,0
408,best,101.0,248871,레이디SR,13.0,9.97,1760,0
409,best,101.0,241879,살초,20.0,9.95,272,0
410,best,101.0,416512,해아한,10.0,9.95,5829,0
411,best,101.0,186845,팅옌,10.0,9.87,2238,0
412,best,101.0,329745,아이블룸,6.0,9.97,2155,0
413,best,101.0,198176,snow,0.0,0.0,2903,0
414,best,101.0,193677,리아지,121.0,9.97,5245,0
415,best,101.0,199905,타오름달,74.0,9.87,1794,0
416,best,101.0,380411,삡새,57.0,9.99,3686,0
417,best,101.0,192186,이이담(유주),27.0,9.99,1619,0
418,best,101.0,387962,은준영,83.0,9.99,2628,0
419,best,101.0,200317,다나월,7.0,9.94,3793,0
420,best,101.0,207055,하나야,103.0,9.97,12707,0
421,best,101.0,228700,리브☆,9.0,9.87,2452,0
422,best,101.0,178786,은혜별,32.0,9.96,5050,0
423,best,101.0,4219,한도연,58.0,9.94,3562,0
424,best,101.0,322064,Octo,139.0,9.99,2212,0
425,best,101.0,160307,rucy,145.0,9.94,4574,0
426,best,101.0,160425,"모란,",66.0,9.94,12616,0
427,best,101.0,244224,더블유(W),7.0,9.91,2142,0
428,best,101.0,258752,비엔나커피,10.0,9.99,4030,0
429,best,101.0,236500,비더rose,216.0,9.99,5788,0
430,best,101.0,215972,조은걸,75.0,9.95,4345,0
431,best,101.0,241357,청별,11.0,9.98,253,0
432,best,101.0,332550,덕트,5.0,9.98,3857,0
433,best,101.0,130749,자목련,70.0,9.87,2133,0
434,best,101.0,221045,크롱이,89.0,9.98,16063,0
435,best,101.0,166170,부부,111.0,9.96,10280,0
436,best,101.0,108410,시크크,80.0,9.98,13797,0
437,best,101.0,259407,휘연(徽緣),10.0,9.98,3080,0
438,best,101.0,336855,임하늬,65.0,9.99,2774,0
439,best,101.0,385491,윤희사,1.0,9.94,2674,0
440,best,101.0,144436,Solus,151.0,9.61,3403,0
441,best,101.0,168124,에밀소년,72.0,9.94,4768,0
442,best,101.0,153517,민재경&너는내운명,41.0,9.84,6302,0
443,best,101.0,271931,달콤J,1.0,9.99,7568,0
444,best,101.0,178432,우중보행,63.0,9.92,648,0
445,best,101.0,263889,블루시연,125.0,9.98,8406,0
446,best,101.0,198723,작가 이재이,11.0,9.96,1267,0
447,best,101.0,196646,홀리다,32.0,9.92,1957,0
448,best,101.0,343394,la Lune,16.0,9.96,732,0
449,best,101.0,196293,멜리아,126.0,9.92,4167,0
450,best,101.0,247382,은아란,134.0,9.7,2492,0
451,best,101.0,133566,Haar,14.0,9.97,4060,0
452,best,101.0,124862,서이나,7.0,9.87,1866,0
453,best,101.0,199265,헬리아,64.0,9.97,3019,0
454,best,101.0,201507,아르마인,199.0,9.99,12637,2
455,best,101.0,173827,Liana,13.0,9.97,1190,0
456,best,101.0,261392,류희경,167.0,9.99,3527,0
457,best,101.0,189351,조은걸,45.0,9.92,1224,0
458,best,101.0,131961,Whale,55.0,9.94,1318,0
459,best,101.0,216381,김나림,28.0,9.99,4029,0
460,best,101.0,207470,신우리,32.0,9.88,8965,0
461,best,101.0,33458,에레티,1.0,10.0,6289,0
462,best,101.0,96060,동하(?霞),334.0,9.76,3024,0
